Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,No_ano,Pct_CDI
2025,1.15,1.05,1.04,0.05,,,,,,,,,3.33,109.43
2024,1.06,0.88,0.95,0.83,0.88,0.85,1.04,0.93,0.85,0.95,0.80,0.70,11.26,103.56
2023,0.92,0.74,1.11,0.84,1.22,1.14,1.11,1.25,1.01,1.04,1.00,0.99,13.09,100.31
2022,0.79,0.84,1.01,0.84,1.10,1.05,1.08,1.23,1.16,1.06,1.04,1.17,13.11,105.92
2021,0.21,0.15,0.31,0.26,0.30,0.36,0.43,0.47,0.48,0.53,0.66,0.85,5.11,116.24
2020,0.37,0.29,-0.27,0.31,0.30,0.32,0.30,0.23,0.08,0.18,0.20,0.26,2.59,93.55
2019,0.55,0.52,0.48,0.53,0.55,0.48,0.58,0.51,0.47,0.45,0.34,0.38,5.99,100.41
2018,0.59,0.48,0.56,0.54,0.53,0.52,0.54,0.57,0.58,0.56,0.51,0.49,6.66,103.71
2017,1.12,0.91,1.09,0.80,0.94,0.83,0.83,0.81,0.67,0.70,0.57,0.60,10.32,103.72
2016,1.07,0.98,1.13,1.01,1.16,1.06,1.15,1.27,1.13,1.08,1.06,1.15,14.09,100.66
2015,0.96,0.85,1.06,0.99,1.05,1.10,1.22,1.13,1.14,1.14,1.07,1.20,13.69,103.50
2014,0.82,0.86,0.79,0.85,0.91,0.84,0.97,0.90,0.91,1.00,0.84,1.03,11.27,104.29
2013,0.62,0.49,0.57,0.64,0.58,0.55,0.75,0.65,0.75,0.82,0.69,0.81,8.22,102.10
2012,0.92,0.78,0.92,0.78,0.79,0.65,0.69,0.71,0.58,0.67,0.57,0.57,9.01,107.04
2011,0.87,0.90,0.95,0.87,1.03,0.98,1.00,1.12,0.98,0.91,0.90,0.93,12.05,103.90
2010,0.71,0.63,0.84,0.66,0.81,0.89,0.90,0.93,0.89,0.84,0.84,0.96,10.35,106.25
2009,0.92,0.90,0.95,0.88,0.88,0.95,0.91,0.79,0.75,0.76,0.70,0.76,10.63,107.38
2008,0.96,0.83,0.83,0.87,0.88,0.96,1.07,1.00,1.08,0.98,1.07,0.87,12.00,97.05
2007,1.09,0.90,1.07,0.98,1.06,0.92,0.97,0.92,0.86,0.93,0.82,0.83,11.97,101.24
2006,1.53,1.23,1.46,1.08,1.25,1.23,1.19,1.30,1.11,1.18,1.06,1.03,15.67,104.11
2005,1.41,1.21,1.57,1.47,1.48,1.57,1.48,1.61,1.50,1.44,1.45,1.51,19.21,101.11
2004,1.53,1.04,1.40,0.81,0.92,1.51,1.35,1.31,1.27,1.25,1.30,1.60,16.40,101.40
2003,2.34,2.01,1.95,2.06,2.25,2.02,2.31,1.84,1.92,1.89,1.91,1.59,26.93,115.68
2002,1.51,1.26,1.35,1.50,0.86,0.47,0.77,0.83,1.65,1.87,2.15,2.00,17.46,91.47
2001,1.34,1.03,0.93,1.11,1.32,1.26,1.50,1.66,1.35,1.61,1.44,1.40,17.15,99.30
2000,1.53,1.59,1.61,1.16,1.48,1.58,1.39,1.46,1.24,1.25,1.21,1.27,18.13,104.60
